EventDate,EventName,Category,Description,ExpectedPriceImpactDirection,UncertaintyFlag,ApproximateDate,ContestedAttribution,DataProvenance,ChangePointProximity
2008-09-15,Lehman Brothers Collapse,Economic Shock,"Lehman Brothers filed for Chapter 11 bankruptcy, triggering the Global Financial Crisis. Brent crashed from $147 to under $40 by December 2008 – the largest single-year price collapse on record.",Negative (crash),Low,No,No,US Bankruptcy Court filing; confirmed 15 Sep 2008,Near (within 30 days of model CP)
2009-12-22,OPEC Maintains 2008 Production Cuts,OPEC Policy,"OPEC extended production cuts agreed at the December 2008 meeting. Combined with global fiscal stimulus packages, this put a floor under prices and began a multi-year recovery.",Positive (floor),Medium,No,No,OPEC official communiqué; date confirmed. Recovery attributed jointly to OPEC cuts and G20 stimulus – contested as single cause.,Within 90 days of model CP
2010-12-17,Arab Spring Begins (Tunisia),Geopolitical Conflict,"Mohamed Bouazizi's self-immolation in Sidi Bouzid triggered widespread protests and the Arab Spring. The movement spread to Libya in early 2011, directly disrupting ~1.5 million bpd of output.",Positive (spike – lagged),Medium,No,Yes,"Date confirmed. Attribution of oil price impact to this specific date is contested – oil market impact was felt primarily in Feb–Mar 2011 when Libyan disruption became severe. The Dec 2010 date is a political precursor, not a direct supply shock.",Within 90 days of model CP
2011-02-15,Libyan Civil War Escalates,Geopolitical Conflict,"Protests in Benghazi escalated into armed conflict, rapidly halting Libyan crude exports (~1.5 million bpd). Brent rose from ~$100 to a $126 peak in April 2011 before recovering.",Positive (spike),Low,No,No,UN Security Council records; Libyan export disruption confirmed from mid-Feb 2011,Near (within 30 days of model CP)
2014-06-01,US Shale Production Peaks,Supply Shock,"US tight-oil (shale) production reached record levels (~8.5 mbpd), creating a structural global supply surplus that OPEC had not yet countered. This multi-month process culminated in the Nov 2014 OPEC decision.",Negative (sustained),High,Yes,Yes,"Date is approximate – Jun 2014 is when EIA data shows the peak quarter. The shale supply glut built throughout 2013–2014. Attribution of a discrete price break to this exact date is contested.",Within 90 days of model CP
2014-11-27,OPEC Vienna No-Cut Decision,OPEC Policy,"OPEC, led by Saudi Arabia, decided not to cut production despite a global supply glut and falling prices, effectively abandoning its swing-producer role. Brent collapsed from ~$85 to below $50 over the following months.",Negative (collapse),Low,No,No,OPEC official communiqué 27 Nov 2014,Near (within 30 days of model CP)
2016-01-16,Iran Sanctions Lifted (JCPOA),Sanctions/Diplomacy,"Iran returned to the oil market after international sanctions were lifted following the JCPOA nuclear deal. Added ~1 million bpd of Iranian crude to a market already in surplus.",Negative (supply increase),Low,No,No,IAEA Implementation Day declared 16 Jan 2016,Within 90 days of model CP
2016-11-30,First OPEC+ Production Cut Agreement,OPEC Policy,"OPEC and Russia agreed to cut output by 1.8 million bpd in the landmark OPEC+ deal. Prices rose from ~$45 to above $55/barrel within weeks of the announcement.",Positive (recovery),Low,No,No,OPEC official communiqué 30 Nov 2016,Near (within 30 days of model CP)
2018-11-05,US Sanctions on Iran Reimposed,Sanctions/Diplomacy,"Trump administration reimposed comprehensive sanctions on Iran after withdrawing from the JCPOA, effectively removing ~1–1.5 million bpd from global supply and contributing to prices above $80.",Positive (supply reduction),Low,No,No,US Treasury Executive Order; sanctions effective 5 Nov 2018,Within 90 days of model CP
2019-09-14,Saudi Aramco Abqaiq Facility Attack,Geopolitical Conflict,"Drone and cruise missile strikes on Abqaiq and Khurais processing facilities temporarily knocked out ~5.7 million bpd (~5% of global supply). Brent spiked over 15% on 16 Sep before recovering.",Positive (spike),Low,No,No,Saudi Aramco / Saudi Aramco incident report; US intelligence assessment confirms attack,Near (within 30 days of model CP)
2020-03-08,Saudi Arabia–Russia Oil Price War Begins,OPEC Policy,"OPEC+ talks collapsed. Saudi Arabia pledged to flood the market by raising output and slashing OSPs. Coinciding with COVID-19 demand collapse, Brent fell to 20-year lows within weeks.",Negative (crash),Low,No,No,Saudi ARAMCO official OSP releases; confirmed 8 Mar 2020,Near (within 30 days of model CP)
2020-04-12,Historic OPEC+ Output Cut (9.7 mbpd),OPEC Policy,"OPEC+ agreed the largest coordinated production cut in history (9.7 million bpd) in an emergency virtual meeting. This put a floor under prices and began a slow recovery as demand returned.",Positive (floor/recovery),Low,No,No,OPEC official communiqué 12 Apr 2020,Near (within 30 days of model CP)
2020-04-20,WTI May Futures Turn Negative,Market Anomaly,"WTI May 2020 futures settled at -$37.63/barrel due to storage capacity constraints. Brent did not go negative but fell below $20 – its lowest price since 2002.",Negative (historic low),Low,No,No,NYMEX settlement data; confirmed 20 Apr 2020. Note: Brent did not go negative – WTI anomaly is linked.,Near (within 30 days of model CP)
2021-01-01,COVID-19 Vaccine Rollouts Begin (Mass Scale),Demand Shock,"Mass vaccination programmes began globally in Q1 2021, fuelling firm expectations of demand recovery. Brent rose steadily from ~$50 in Jan to $70+ by mid-2021.",Positive (demand recovery),Medium,Yes,No,"Date is approximate – the UK began on 8 Dec 2020; US and EU scaled up from Jan 2021. Jan 2021 used as model anchor for mass-scale global rollout. Price impact was gradual rather than discrete.",Within 90 days of model CP
2022-02-24,Russia Full-Scale Invasion of Ukraine,Geopolitical Conflict,"Russia launched a full-scale land invasion of Ukraine triggering sweeping Western sanctions on Russian oil and gas exports. Brent surged above $130 in March 2022 – the highest since the 2008 peak.",Positive (spike),Low,No,No,Ukrainian Ministry of Defence; UN General Assembly records; confirmed 24 Feb 2022,Near (within 30 days of model CP)
